name,suburb,rating,review_count,price_level,cuisine,website,seifa_score,region,population,weekend_status,target_audience,price_score
Civico 47,Paddington,4.8,560,unknown,,http://www.civico47.com/,1178,Inner East,12701,Weekdays only,General locals,
Nori Table Paddington,Paddington,4.9,140,unknown,,,1178,Inner East,12701,Weekend friendly,General locals,
Fred's,Paddington,4.4,779,$$$$,,https://merivale.com/venues/freds?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_freds&utm_content=website,1178,Inner East,12701,Weekend friendly,Affluent locals,4
"I Maccheroni, Italian Osteria, Paddington",Paddington,4.7,1021,$,bar,https://imaccheroni.com.au/,1178,Inner East,12701,Weekend friendly,Budget / community,1
Chubby Cheeks,Paddington,4.7,462,$$,"bar, meal_takeaway",https://chubbycheekspaddo.com.au/,1178,Inner East,12701,Weekend friendly,General locals,2
Tequila Mockingbird,Paddington,4.6,880,$$$,,https://www.tequila-mockingbird.com.au/,1178,Inner East,12701,Weekend friendly,Affluent locals,3
10 William St,Paddington,4.5,661,$$$,bar,http://10williamst.com.au/,1178,Inner East,12701,Weekdays only,Affluent locals,3
Ursula's Paddington,Paddington,4.5,410,unknown,,http://ursulas.com.au/,1178,Inner East,12701,Weekdays only,General locals,
IL BARETTO,Paddington,4.4,354,unknown,,http://www.ilbaretto.com/,1178,Inner East,12701,Weekend friendly,General locals,
Paddo Inn,Paddington,4.2,633,$$,bar,https://www.paddoinn.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=Paddo_Inn_-_Paddington&utm_term=plcid_13083565039621970458,1178,Inner East,12701,Weekend friendly,General locals,2
Barbetta,Paddington,4.4,529,$$,"bar, cafe, store",http://barbetta.com.au/,1178,Inner East,12701,Weekend friendly,General locals,2
Porcine,Paddington,4.7,228,unknown,,http://www.porcine.com.au/,1178,Inner East,12701,Weekend friendly,General locals,
Caness,Paddington,4.8,140,unknown,bar,https://caness.com.au/,1178,Inner East,12701,Weekend friendly,General locals,
Arthouse Kitchen,Paddington,4.8,223,unknown,cafe,http://arthousekitchen.com.au/,1178,Inner East,12701,Weekdays only,General locals,
Saint Peter at The Grand National Hotel,Paddington,4.6,1426,$$$,,http://www.saintpeter.com.au/,1178,Inner East,12701,Weekend friendly,Affluent locals,3
Vino e Cucina Italian Restaurant Sydney,Paddington,4.4,958,$$,bar,http://www.vinoecucina.com.au/,1178,Inner East,12701,Weekend friendly,General locals,2
Love Supreme,Paddington,4.2,462,$$,,http://www.lovesupreme.au/,1178,Inner East,12701,Weekend friendly,General locals,2
Four in Hand Hotel,Paddington,4.1,560,$$,bar,https://www.fourinhand.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb,1178,Inner East,12701,Weekend friendly,General locals,2
Bar Conte Surry Hills,Paddington,4.7,608,unknown,"bar, cafe",https://www.barconte.com.au/,1178,Inner East,12701,Weekdays only,General locals,
Fresca Kitchen/Burgerroo,Paddington,4.9,218,unknown,meal_takeaway,,1178,Inner East,12701,Weekdays only,General locals,
The Pantry Manly,Manly,4.5,3254,$$,,http://www.thepantrymanly.com/,1169,Northern Beaches,16296,Weekend friendly,Tourist friendly,2
Hugos Manly,Manly,4.4,1878,$$$,bar,http://www.hugosmanly.com.au/,1169,Northern Beaches,16296,Weekend friendly,Affluent locals,3
LITTLE ITALY MANLY,Manly,4.9,23,unknown,,,1169,Northern Beaches,16296,Weekend friendly,General locals,
Cibaria Manly,Manly,4.6,719,unknown,"bar, store",https://www.cibariamanly.au/,1169,Northern Beaches,16296,Weekend friendly,General locals,
Garfish Manly,Manly,4.5,1287,$$$,bar,http://www.garfish.com.au/,1169,Northern Beaches,16296,Weekend friendly,Affluent locals,3
